,name,rating,review,location
0,วนอุทยานปราณบุรี,4.4,32 รีวิว,"ปราณบุรี, ประจวบคีรีขันธ์"
1,A' La Campagne,4.5,43 รีวิว,"สัตหีบ, ชลบุรี"
2,อุทยานประวัติศาสตร์พนมรุ้ง,4.6,67 รีวิว,"เฉลิมพระเกียรติ, บุรีรัมย์"
3,ไร่ชาฉุยฟง,4.3,82 รีวิว,"แม่จัน, เชียงราย"
4,บ้านแม่กำปอง,4.3,153 รีวิว,"แม่ออน, เชียงใหม่"
5,สวนพฤกษศาสตร์สมเด็จพระนางเจ้าสิริกิติ์,4.5,148 รีวิว,"แม่ริม, เชียงใหม่"
6,สวนแม่ฟ้าหลวง,4.4,21 รีวิว,"แม่ฟ้าหลวง, เชียงราย"
7,ไร่ชาลุงเดช,4.4,76 รีวิว,"แม่แตง, เชียงใหม่"
8,ไร่บุญรอด(สิงห์ปาร์ค เชียงราย),5.0,62 รีวิว,"เมืองเชียงราย, เชียงราย"
9,ทุ่งทานตะวัน ไร่มณีศร เขาใหญ่,4.5,16 รีวิว,"ปากช่อง, นครราชสีมา"
10,ฟาร์มลุงรีย์,4.3,32 รีวิว,"ภาษีเจริญ, กรุงเทพมหานคร"
11,ม่อนแจ่ม,5.0,1 รีวิว,"แม่ริม, เชียงใหม่"
12,เขาแหลมหญ้า,4.5,224 รีวิว,"เมืองระยอง, ระยอง"
13,อุทยานแห่งชาติผาแต้ม,4.2,22 รีวิว,"โขงเจียม, อุบลราชธานี"
14,Hokkaido Flower Park Khaoyai,4.4,29 รีวิว,"ปากช่อง, นครราชสีมา"
15,ฟาร์มโชคชัย,4.4,8 รีวิว,"ปากช่อง, นครราชสีมา"
16,ยิ่งยงสวนดอกไม้,4.6,40 รีวิว,"แม่ริม, เชียงใหม่"
17,น้ำพุธรรมชาติบ้านท่าช้าง (น้ำผุดปากช่อง),4.2,1 รีวิว,"ปากช่อง, นครราชสีมา"
18,บึงฉวาก,4.4,4 รีวิว,"เดิมบางนางบวช, สุพรรณบุรี"
